#TYPE System.Diagnostics.Process
"Name";"SI";"Handles";"VM";"WS";"PM";"NPM";"Path";"Company";"CPU";"FileVersion";"ProductVersion";"Description";"Product";"__NounName";"BasePriority";"ExitCode";"HasExited";"ExitTime";"Handle";"SafeHandle";"HandleCount";"Id";"MachineName";"MainWindowHandle";"MainWindowTitle";"MainModule";"MaxWorkingSet";"MinWorkingSet";"Modules";"NonpagedSystemMemorySize";"NonpagedSystemMemorySize64";"PagedMemorySize";"PagedMemorySize64";"PagedSystemMemorySize";"PagedSystemMemorySize64";"PeakPagedMemorySize";"PeakPagedMemorySize64";"PeakWorkingSet";"PeakWorkingSet64";"PeakVirtualMemorySize";"PeakVirtualMemorySize64";"PriorityBoostEnabled";"PriorityClass";"PrivateMemorySize";"PrivateMemorySize64";"PrivilegedProcessorTime";"ProcessName";"ProcessorAffinity";"Responding";"SessionId";"StartInfo";"StartTime";"SynchronizingObject";"Threads";"TotalProcessorTime";"UserProcessorTime";"VirtualMemorySize";"VirtualMemorySize64";"EnableRaisingEvents";"StandardInput";"StandardOutput";"StandardError";"WorkingSet";"WorkingSet64";"Site";"Container"
"AdminService";"0";"155";"4389855232";"3162112";"2543616";"8832";"C:\Windows\System32\drivers\AdminService.exe";"Windows (R) Win 7 DDK provider";"13,046875";"10.0.10011.16384";"10.0.10011.16384";"Windows Setup API";"Windows (R) Win 7 DDK driver";"Process";"8";;"False";;"3932";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"155";"4624";".";"0";"";"System.Diagnostics.ProcessModule (AdminService.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"8832";"8832";"2543616";"2543616";"120072";"120072";"2637824";"2637824";"8204288";"8204288";"100130816";"4395098112";"True";"Normal";"2543616";"2543616";"00:00:08.1718750";"AdminService";"15";"True";"0";"System.Diagnostics.ProcessStartInfo";"20/02/2020 9:09:30 a. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:13.0468750";"00:00:04.8750000";"94887936";"4389855232";"False";;;;"3162112";"3162112";;
"aesm_service";"0";"192";"4411301888";"557056";"2945024";"14520";"C:\Windows\System32\DriverStore\FileRepository\sgx_psw.inf_amd64_fd0b4b97d35097fa\aesm_service.exe";"Intel Corporation";"0,234375";"2.5.100.2";"2.5.100.2";"Intel? SGX Application Enclave Services Manager";"Intel? Software Guard Extensions";"Process";"8";;"False";;"4140";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"192";"9992";".";"0";"";"System.Diagnostics.ProcessModule (aesm_service.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"14520";"14520";"2945024";"2945024";"158232";"158232";"5308416";"5308416";"17739776";"17739776";"134164480";"4429131776";"True";"Normal";"2945024";"2945024";"00:00:00.1875000";"aesm_service";"15";"True";"0";"System.Diagnostics.ProcessStartInfo";"20/02/2020 9:11:32 a. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.2343750";"00:00:00.0468750";"116334592";"4411301888";"False";;;;"557056";"557056";;
"AppVShNotify";"0";"157";"4379209728";"475136";"1785856";"9624";"C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe";"Microsoft Corporation";"0,03125";"5.1.154.0";"5.1.154.0";"AppVShNotify";"Microsoft Application Virtualization (App-V)";"Process";"8";;"False";;"4152";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"157";"17676";".";"0";"";"System.Diagnostics.ProcessModule (AppVShNotify.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"9624";"9624";"1785856";"1785856";"103088";"103088";"2007040";"2007040";"7692288";"7692288";"91582464";"4386549760";"True";"Normal";"1785856";"1785856";"00:00:00.0312500";"AppVShNotify";"15";"True";"0";"System.Diagnostics.ProcessStartInfo";"24/02/2020 6:18:15 a. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.0312500";"00:00:00";"84242432";"4379209728";"False";;;;"475136";"475136";;
"armsvc";"0";"156";"45580288";"352256";"1466368";"9776";"C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe";"Adobe Systems";"0,140625";"1.824.35.0289";"1.824.35.0289";"Adobe Acrobat Update Service";"Adobe Acrobat Update Service";"Process";"8";;"False";;"1864";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"156";"4616";".";"0";"";"System.Diagnostics.ProcessModule (armsvc.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"9776";"9776";"1466368";"1466368";"92640";"92640";"1953792";"1953792";"7262208";"7262208";"54697984";"54697984";"True";"Normal";"1466368";"1466368";"00:00:00.0781250";"armsvc";"15";"True";"0";"System.Diagnostics.ProcessStartInfo";"20/02/2020 9:09:30 a. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.1406250";"00:00:00.0625000";"45580288";"45580288";"False";;;;"352256";"352256";;
"audiodg";"0";"355";"2203520937984";"92327936";"84652032";"24984";"C:\Windows\system32\AUDIODG.EXE";"Microsoft Corporation";"368,71875";"10.0.18362.656 (WinBuild.160101.0800)";"10.0.18362.656";"Aislamiento de gr?ficos de dispositivo de audio de Windows ";"Sistema operativo Microsoft? Windows?";"Process";"8";;"False";;"4264";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"355";"6456";".";"0";"";"System.Diagnostics.ProcessModule (AUDIODG.EXE)";"86921216";"85712896";"System.Diagnostics.ProcessModuleCollection";"24984";"24984";"84652032";"84652032";"173128";"173128";"90517504";"90517504";"98652160";"98652160";"210878464";"2203529101312";"True";"Normal";"84652032";"84652032";"00:01:37.5000000";"audiodg";"15";"True";"0";"System.Diagnostics.ProcessStartInfo";"28/02/2020 5:39:40 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:06:08.7187500";"00:04:31.2187500";"202715136";"2203520937984";"False";;;;"92327936";"92327936";;
"chrome";"11";"238";"2207997235200";"19533824";"21012480";"17128";"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe";"Google LLC";"0,578125";"80.0.3987.122";"80.0.3987.122";"Google Chrome";"Google Chrome";"Process";"8";;"False";;"4296";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"238";"2776";".";"0";"";"System.Diagnostics.ProcessModule (chrome.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"17128";"17128";"21012480";"21012480";"422912";"422912";"22208512";"22208512";"43876352";"43876352";"298528768";"2212206686208";"True";"Normal";"21012480";"21012480";"00:00:00.2187500";"chrome";"15";"True";"11";"System.Diagnostics.ProcessStartInfo";"28/02/2020 2:31:27 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.5781250";"00:00:00.3593750";"384045056";"2207997235200";"False";;;;"19533824";"19533824";;
"chrome";"11";"292";"2208040890368";"78057472";"44613632";"20936";"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe";"Google LLC";"18,53125";"80.0.3987.122";"80.0.3987.122";"Google Chrome";"Google Chrome";"Process";"8";;"False";;"4328";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"292";"3976";".";"0";"";"System.Diagnostics.ProcessModule (chrome.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"20936";"20936";"44613632";"44613632";"443280";"443280";"53428224";"53428224";"85520384";"85520384";"298528768";"2212206686208";"True";"Normal";"44613632";"44613632";"00:00:02.0156250";"chrome";"15";"True";"11";"System.Diagnostics.ProcessStartInfo";"28/02/2020 5:59:07 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:18.5312500";"00:00:16.5156250";"427700224";"2208040890368";"False";;;;"78057472";"78057472";;
"chrome";"11";"225";"2207980765184";"37924864";"21274624";"16448";"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe";"Google LLC";"0,5";"80.0.3987.122";"80.0.3987.122";"Google Chrome";"Google Chrome";"Process";"4";;"False";;"4360";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"225";"4484";".";"0";"";"System.Diagnostics.ProcessModule (chrome.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"16448";"16448";"21274624";"21274624";"411224";"411224";"27889664";"27889664";"43352064";"43352064";"298528768";"2212206686208";"True";"Idle";"21274624";"21274624";"00:00:00.0781250";"chrome";"15";"True";"11";"System.Diagnostics.ProcessStartInfo";"28/02/2020 5:56:10 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.5000000";"00:00:00.4218750";"367575040";"2207980765184";"False";;;;"37924864";"37924864";;
"chrome";"11";"447";"2203732209664";"36339712";"25407488";"22712";"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe";"Google LLC";"53,46875";"80.0.3987.122";"80.0.3987.122";"Google Chrome";"Google Chrome";"Process";"8";;"False";;"4392";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"447";"7884";".";"0";"";"System.Diagnostics.ProcessModule (chrome.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"22712";"22712";"25407488";"25407488";"484048";"484048";"27820032";"27820032";"46854144";"46854144";"504426496";"2203822649344";"True";"Normal";"25407488";"25407488";"00:00:20.2812500";"chrome";"15";"True";"11";"System.Diagnostics.ProcessStartInfo";"28/02/2020 2:31:27 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:53.4687500";"00:00:33.1875000";"413986816";"2203732209664";"False";;;;"36339712";"36339712";;
"chrome";"11";"231";"2203459670016";"6053888";"1695744";"8968";"C:\Program Files (x86)\Google\Chrome\Application\chrome.exe";"Google LLC";"0,0625";"80.0.3987.122";"80.0.3987.122";"Google Chrome";"Google Chrome";"Process";"8";;"False";;"4424";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"231";"8248";".";"0";"";"System.Diagnostics.ProcessModule (chrome.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"8968";"8968";"1695744";"1695744";"118744";"118744";"1802240";"1802240";"6688768";"6688768";"175001600";"2203493224448";"True";"Normal";"1695744";"1695744";"00:00:00.0312500";"chrome";"15";"True";"11";"System.Diagnostics.ProcessStartInfo";"28/02/2020 2:31:27 p. m.";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.0625000";"00:00:00.0312500";"141447168";"2203459670016";"False";;;;"6053888";"6053888";;
